tahun,provinsi,komoditas,supply_ton,demand_ton,gap_ton,mapping_type,data_quality,forecast_supported,optimizer_mode,supply_index,demand_index
2023,Papua Pegunungan,Beras Medium I,35.19,,,exact,partial_supply,True,supply_only,1.8233716022366115e-06,
2023,Papua Selatan,Beras Medium I,104849.17,,,exact,partial_supply,True,supply_only,0.017391708235059578,
2023,Papua Tengah,Beras Medium I,5294.89,,,exact,partial_supply,True,supply_only,0.0008744701064779334,
2023,Riau,Beras Medium I,118208.51,593255.5199999999,-475047.0099999999,exact,high,True,full,0.019608181499902493,0.10996828213848595
2023,Sulawesi Barat,Beras Medium I,167391.99,178155.03999999998,-10763.049999999988,exact,high,True,full,0.02776830531529579,0.027549835851275836
2023,Sulawesi Selatan,Beras Medium I,2798247.6,1002212.88,1796034.7200000002,exact,high,True,full,0.46425851540254587,0.19116700830936215
2023,Sulawesi Tengah,Beras Medium I,484835.84,344014.89999999997,140820.94000000006,exact,high,True,full,0.08043601244856774,0.06048140934069746
2023,Sulawesi Tenggara,Beras Medium I,275313.62,296718.81999999995,-21405.199999999953,exact,high,True,full,0.04567378624423908,0.05109074462964824
2023,Sulawesi Utara,Beras Medium I,133848.82,292006.22000000003,-158157.40000000002,exact,high,True,full,0.022203094794186144,0.050155055107022055
2023,Sumatera Barat,Beras Medium I,858383.18,581967.12,276416.06000000006,exact,high,True,full,0.14241195529179107,0.10772696362912519
2023,Sumatera Selatan,Beras Medium I,1626734.93,836600.4500000001,790134.4799999999,exact,high,True,full,0.2698906415046031,0.15828456219306436
2023,Sumatera Utara,Beras Medium I,1197409.21,1559637.0399999998,-362227.82999999984,exact,high,True,full,0.19866040256394918,0.30184390559975605
2024,Aceh,Beras Medium I,956278.09,,,exact,partial_supply,True,supply_only,0.15865388421786103,
2024,Bali,Beras Medium I,358378.78,,,exact,partial_supply,True,supply_only,0.05945528341250483,
2024,Banten,Beras Medium I,883128.02,,,exact,partial_supply,True,supply_only,0.1465174183088874,
2024,Bengkulu,Beras Medium I,157151.04,,,exact,partial_supply,True,supply_only,0.02606921000957013,
2024,DI Yogyakarta,Beras Medium I,257219.86,,,exact,partial_supply,True,supply_only,0.04267181643880826,
2024,DKI Jakarta,Beras Medium I,1359.57,,,exact,partial_supply,True,supply_only,0.0002215537521818657,
2024,Gorontalo,Beras Medium I,131138.53,,,exact,partial_supply,True,supply_only,0.02175342547482073,
2024,Jambi,Beras Medium I,162563.9,,,exact,partial_supply,True,supply_only,0.026967267808558522,
2024,Jawa Barat,Beras Medium I,4981868.86,,,exact,partial_supply,True,supply_only,0.8265472320107469,
2024,Jawa Tengah,Beras Medium I,5113021.6,,,exact,partial_supply,True,supply_only,0.8483070301610217,
2024,Jawa Timur,Beras Medium I,5352936.04,,,exact,partial_supply,True,supply_only,0.8881116868364085,
2024,Kalimantan Barat,Beras Medium I,452439.81,,,exact,partial_supply,True,supply_only,0.07506112608576469,
2024,Kalimantan Selatan,Beras Medium I,609172.41,,,exact,partial_supply,True,supply_only,0.10106492699429155,
2024,Kalimantan Tengah,Beras Medium I,217495.56,,,exact,partial_supply,True,supply_only,0.0360810829957939,
2024,Kalimantan Timur,Beras Medium I,145209.36,,,exact,partial_supply,True,supply_only,0.024087943385821545,
2024,Kalimantan Utara,Beras Medium I,17832.41,,,exact,partial_supply,True,supply_only,0.0029545936670305776,
2024,Kepulauan Bangka Belitung,Beras Medium I,45930.55,,,exact,partial_supply,True,supply_only,0.00761640900385211,
2024,Kepulauan Riau,Beras Medium I,174.59,,,exact,partial_supply,True,supply_only,2.4951488194755603e-05,
2024,Lampung,Beras Medium I,1604614.06,,,exact,partial_supply,True,supply_only,0.2662205262930683,
2024,Maluku,Beras Medium I,51031.04,,,exact,partial_supply,True,supply_only,0.008462640907718517,
2024,Maluku Utara,Beras Medium I,17478.19,,,exact,partial_supply,True,supply_only,0.0028958243595743217,
2024,Nusa Tenggara Barat,Beras Medium I,827788.45,,,exact,partial_supply,True,supply_only,0.13733592600515807,
2024,Nusa Tenggara Timur,Beras Medium I,414576.01,,,exact,partial_supply,True,supply_only,0.06877907170243744,
2024,Papua,Beras Medium I,2632.19,,,exact,partial_supply,True,supply_only,0.00043269653365942323,
2024,Papua Barat,Beras Medium I,12455.13,,,exact,partial_supply,True,supply_only,0.0020624390128654376,
2024,Papua Barat Daya,Beras Medium I,594.02,,,exact,partial_supply,True,supply_only,9.453990958930536e-05,
2024,Papua Pegunungan,Beras Medium I,24.2,,,exact,partial_supply,True,supply_only,0.0,
2024,Papua Selatan,Beras Medium I,124355.12,,,exact,partial_supply,True,supply_only,0.02062797714358071,
2024,Papua Tengah,Beras Medium I,3467.26,,,exact,partial_supply,True,supply_only,0.000571244570409171,
2024,Riau,Beras Medium I,127438.73,,,exact,partial_supply,True,supply_only,0.021139584687381696,
2024,Sulawesi Barat,Beras Medium I,183138.8,,,exact,partial_supply,True,supply_only,0.03038088822519711,
