No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKP
369,6503,Kabupaten Nunukan,Kalimantan Utara,2021,155.3
370,6571,Kota Tarakan,Kalimantan Utara,2021,155.6
371,7101,Kabupaten Bolaang Mongondow,Sulawesi Utara,2021,176.4
372,7102,Kabupaten Minahasa,Sulawesi Utara,2021,186.9
373,7103,Kabupaten Kepulauan Sangihe,Sulawesi Utara,2021,161.4
374,7104,Kabupaten Kepulauan Talaud,Sulawesi Utara,2021,164.2
375,7105,Kabupaten Minahasa Selatan,Sulawesi Utara,2021,183.6
376,7106,Kabupaten Minahasa Utara,Sulawesi Utara,2021,174.6
377,7108,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,2021,171.7
378,7109,Kabupaten Kep. Siau Tagulandang Biaro,Sulawesi Utara,2021,163.3
379,7107,Kabupaten Minahasa Tenggara,Sulawesi Utara,2021,183
380,7111,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,2021,169
381,7110,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,2021,185.4
382,7171,Kota Manado,Sulawesi Utara,2021,165.6
383,7172,Kota Bitung,Sulawesi Utara,2021,184.3
384,7173,Kota Tomohon,Sulawesi Utara,2021,184.9
385,7174,Kota Kotamobago,Sulawesi Utara,2021,170.6
386,7207,Kabupaten Banggai Kepulauan,Sulawesi Tengah,2021,167.2
387,7201,Kabupaten Banggai,Sulawesi Tengah,2021,174.8
388,7206,Kabupaten Morowali,Sulawesi Tengah,2021,188.5
389,7202,Kabupaten Poso,Sulawesi Tengah,2021,185.6
390,7203,Kabupaten Donggala,Sulawesi Tengah,2021,215.6
391,7204,Kabupaten Toli-Toli,Sulawesi Tengah,2021,144.9
392,7205,Kabupaten Buol,Sulawesi Tengah,2021,149.9
393,7208,Kabupaten Parigi Moutong,Sulawesi Tengah,2021,155.2
394,7209,Kabupaten Tojo Una-Una,Sulawesi Tengah,2021,156.6
395,7210,Kabupaten Sigi,Sulawesi Tengah,2021,172.9
396,7211,Kabupaten Banggai Laut,Sulawesi Tengah,2021,178.6
397,7212,Kabupaten Morowali Utara,Sulawesi Tengah,2021,181
