No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKE
393,7208,Kabupaten Parigi Moutong,Sulawesi Tengah,2021,93.2
394,7209,Kabupaten Tojo Una-Una,Sulawesi Tengah,2021,88.1
395,7210,Kabupaten Sigi,Sulawesi Tengah,2021,100
396,7211,Kabupaten Banggai Laut,Sulawesi Tengah,2021,99.1
397,7212,Kabupaten Morowali Utara,Sulawesi Tengah,2021,113.4
398,7271,Kota Palu,Sulawesi Tengah,2021,97.2
399,7301,Kabupaten Selayar,Sulawesi Selatan,2021,104.1
400,7302,Kabupaten Bulukumba,Sulawesi Selatan,2021,103.9
401,7303,Kabupaten Bantaeng,Sulawesi Selatan,2021,100.9
402,7304,Kabupaten Jeneponto,Sulawesi Selatan,2021,108.6
403,7305,Kabupaten Takalar,Sulawesi Selatan,2021,106.6
404,7306,Kabupaten Gowa,Sulawesi Selatan,2021,100.5
405,7307,Kabupaten Sinjai,Sulawesi Selatan,2021,112.8
406,7309,Kabupaten Maros,Sulawesi Selatan,2021,96.3
407,7310,Kabupaten Pangkajene dan Kepulauan,Sulawesi Selatan,2021,110.1
408,7311,Kabupaten Barru,Sulawesi Selatan,2021,101.9
409,7308,Kabupaten Bone,Sulawesi Selatan,2021,99.9
410,7312,Kabupaten Soppeng,Sulawesi Selatan,2021,95.7
411,7313,Kabupaten Wajo,Sulawesi Selatan,2021,104.1
412,7314,Kabupaten Sidenreng Rappang,Sulawesi Selatan,2021,111.6
413,7315,Kabupaten Pinrang,Sulawesi Selatan,2021,92.1
414,7316,Kabupaten Enrekang,Sulawesi Selatan,2021,98.6
415,7317,Kabupaten Luwu,Sulawesi Selatan,2021,100.6
416,7318,Kabupaten Tana Toraja,Sulawesi Selatan,2021,95.8
