No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Protein
280,5107,Kabupaten Karangasem,Bali,2021,59.6
281,5108,Kabupaten Buleleng,Bali,2021,61.9
282,5171,Kota Denpasar,Bali,2021,63
283,5201,Kabupaten Lombok Barat,Nusa Tenggara Barat,2021,70.6
284,5202,Kabupaten Lombok Tengah,Nusa Tenggara Barat,2021,78
285,5203,Kabupaten Lombok Timur,Nusa Tenggara Barat,2021,88.8
286,5204,Kabupaten Sumbawa,Nusa Tenggara Barat,2021,67.7
287,5205,Kabupaten Dompu,Nusa Tenggara Barat,2021,71.6
288,5206,Kabupaten Bima,Nusa Tenggara Barat,2021,65.8
289,5207,Kabupaten Sumbawa Barat,Nusa Tenggara Barat,2021,81.7
290,5208,Kabupaten Lombok Utara,Nusa Tenggara Barat,2021,75.5
291,5271,Kota Mataram,Nusa Tenggara Barat,2021,84.3
292,5272,Kota Bima,Nusa Tenggara Barat,2021,71.6
293,5312,Kabupaten Sumba Barat,Nusa Tenggara Timur,2021,52.7
294,5311,Kabupaten Sumba Timur,Nusa Tenggara Timur,2021,57.4
295,5301,Kabupaten Kupang,Nusa Tenggara Timur,2021,52.3
296,5302,Kabupaten Timor Tengah Selatan,Nusa Tenggara Timur,2021,56
297,5303,Kabupaten Timor Tengah Utara,Nusa Tenggara Timur,2021,57.4
298,5304,Kabupaten Belu,Nusa Tenggara Timur,2021,56.8
299,5305,Kabupaten Alor,Nusa Tenggara Timur,2021,56.2
300,5313,Kabupaten Lembata,Nusa Tenggara Timur,2021,52.9
301,5306,Kabupaten Flores Timur,Nusa Tenggara Timur,2021,53.8
302,5307,Kabupaten Sikka,Nusa Tenggara Timur,2021,50.5
303,5308,Kabupaten Ende,Nusa Tenggara Timur,2021,62.6
304,5309,Kabupaten Ngada,Nusa Tenggara Timur,2021,64.6
305,5310,Kabupaten Manggarai,Nusa Tenggara Timur,2021,67.3
306,5314,Kabupaten Rote Ndao,Nusa Tenggara Timur,2021,53
307,5315,Kabupaten Manggarai Barat,Nusa Tenggara Timur,2021,62.1
308,5317,Kabupaten Sumba Tengah,Nusa Tenggara Timur,2021,53
309,5318,Kabupaten Sumba Barat Daya,Nusa Tenggara Timur,2021,57.3
310,5316,Kabupaten Nagekeo,Nusa Tenggara Timur,2021,59.6
311,5319,Kabupaten Manggarai Timur,Nusa Tenggara Timur,2021,61.7
312,5320,Kabupaten Sabu Raijua,Nusa Tenggara Timur,2021,62.3
313,5321,Kabupaten Malaka,Nusa Tenggara Timur,2021,52.6
314,5371,Kota Kupang,Nusa Tenggara Timur,2021,66.2
315,6101,Kabupaten Sambas,Kalimantan Barat,2021,58.9
316,6107,Kabupaten Bengkayang,Kalimantan Barat,2021,56.4
317,6108,Kabupaten Landak,Kalimantan Barat,2021,57
318,6102,Kabupaten Mempawah,Kalimantan Barat,2021,54.6
319,6103,Kabupaten Sanggau,Kalimantan Barat,2021,56.9
320,6104,Kabupaten Ketapang,Kalimantan Barat,2021,59.5
321,6105,Kabupaten Sintang,Kalimantan Barat,2021,52.3
322,6106,Kabupaten Kapuas Hulu,Kalimantan Barat,2021,52.2
323,6109,Kabupaten Sekadau,Kalimantan Barat,2021,54.9
324,6110,Kabupaten Melawai,Kalimantan Barat,2021,54.7
325,6111,Kabupaten Kayong Utara,Kalimantan Barat,2021,63.5
326,6112,Kabupaten Kubu Raya,Kalimantan Barat,2021,53.7
327,6171,Kota Pontianak,Kalimantan Barat,2021,61
328,6172,Kota Singkawang,Kalimantan Barat,2021,65.4
329,6201,Kabupaten Kotawaringin Barat,Kalimantan Tengah,2021,72.3
330,6202,Kabupaten Kotawaringin Timur,Kalimantan Tengah,2021,65.2
331,6203,Kabupaten Kapuas,Kalimantan Tengah,2021,79.7
332,6204,Kabupaten Barito Selatan,Kalimantan Tengah,2021,64.5
333,6205,Kabupaten Barito Utara,Kalimantan Tengah,2021,57.4
334,6208,Kabupaten Sukamara,Kalimantan Tengah,2021,70.9
335,6209,Kabupaten Lamandau,Kalimantan Tengah,2021,70.9
336,6207,Kabupaten Seruyan,Kalimantan Tengah,2021,66.2
337,6206,Kabupaten Katingan,Kalimantan Tengah,2021,61.5
338,6211,Kabupaten Pulang Pisau,Kalimantan Tengah,2021,65.9
339,6210,Kabupaten Gunung Mas,Kalimantan Tengah,2021,60.7
340,6213,Kabupaten Barito Timur,Kalimantan Tengah,2021,64.9
341,6212,Kabupaten Murung Raya,Kalimantan Tengah,2021,52
342,6271,Kota Palangka Raya,Kalimantan Tengah,2021,64.5
343,6301,Kabupaten Tanah Laut,Kalimantan Selatan,2021,64.6
344,6302,Kabupaten Kota Baru,Kalimantan Selatan,2021,66.7
345,6303,Kabupaten Banjar,Kalimantan Selatan,2021,75.2
346,6304,Kabupaten Barito Kuala,Kalimantan Selatan,2021,68.3
347,6305,Kabupaten Tapin,Kalimantan Selatan,2021,74.2
348,6306,Hulu Sungai Selatan,Kalimantan Selatan,2021,72.8
349,6307,Hulu Sungai Tengah,Kalimantan Selatan,2021,70.4
350,6308,Hulu Sungai Utara,Kalimantan Selatan,2021,64.4
351,6309,Kabupaten Tabalong,Kalimantan Selatan,2021,66.1
352,6310,Kabupaten Tanah Bumbu,Kalimantan Selatan,2021,66.5
353,6311,Kabupaten Balangan,Kalimantan Selatan,2021,71.8
354,6371,Kota Banjarmasin,Kalimantan Selatan,2021,70.1
355,6372,Kota Banjar Baru,Kalimantan Selatan,2021,68.3
356,6401,Kabupaten Paser,Kalimantan Timur,2021,64.3
357,6407,Kabupaten Kutai Barat,Kalimantan Timur,2021,58.4
358,6402,Kabupaten Kutai Kertanegara,Kalimantan Timur,2021,56.8
359,6408,Kabupaten Kutai Timur,Kalimantan Timur,2021,64
360,6403,Kabupaten Berau,Kalimantan Timur,2021,64.4
